ID|Code|IDPlayer|DayBirth|MonthBirth|YearBirth|Height|Weight|RightHanded|TurnedPro
684|BF12|Br/P/Pascal-Brunner|11|6|1989|-1|-1|-1|-1
685|TC73|To/D/Dragos-Torge|-1|-1|-1|-1|-1|-1|-1
686|K457|Ko/H/Hiroki-Kondo|5|11|1982|-1|71|1|-1
687|SL09|Sa/R/Raymond-Sarmiento|24|7|1992|-1|-1|-1|-1
688|Y218|Ym/E/Elias-Ymer|10|4|1996|183|79|1|-1
689|BA08|Br/A/Alberto-Brizzi|26|3|1984|-1|-1|1|-1
690|L523|La/M/Michael-Lammer|25|3|1982|185|80|1|-1
691|SC77|Top-Players/Sergiy-Stakhovsky|6|1|1986|193|80|1|2003
692|SJ59|Se/M/Matt-Seeberger|10|8|1984|-1|-1|-1|-1
693|E720|El/A/Adam-El-Mihdawy|9|8|1989|-1|-1|-1|-1
694|N698|Nu/G/Guillermo-Nunez|22|7|1995|-1|-1|-1|-1
695|SE78|Si/A/Adrian-Sikora|5|7|1988|-1|-1|-1|-1
696|SL07|Sa/A/Alexander-Sarkissian|3|4|1990|-1|-1|-1|-1
697|SA93|Top-Players/Andreas-Seppi|21|2|1984|190|75|1|2002
698|MH15|Mi/J/Joshua-Milton|14|10|1989|-1|-1|1|-1
699|MH16|Ma/Y/Yannick-Maden|28|10|1989|-1|-1|-1|-1
700|AD26|Ak/R/Rasul-Akhmadaliev|11|7|1996|-1|-1|-1|-1
701|F733|Fr/M/Mitchell-Frank|16|10|1992|-1|-1|-1|-1
702|CC66|Co/A/Andrea-Collarini|31|1|1992|-1|-1|0|-1
703|G436|Gi/M/Marc-Gicquel|30|3|1977|188|75|1|1999
704|CA71|Co/E/Edward-Corrie|21|2|1988|-1|-1|-1|-1
705|Y171|Ye/D/Denis-Yevseyev|22|5|1993|-1|-1|-1|-1
706|R750|Ri/P/Pere-Riba|7|4|1988|183|79|1|-1
707|SQ48|Sh/R/Ryan-Shane|15|4|1994|-1|-1|-1|-1
708|SM14|Sc/D/Dominik-Schulz|16|3|1992|-1|-1|0|-1
709|CG04|Ca/P/Pedro-Cachin|12|4|1995|-1|-1|1|-1
710|C918|Ch/E/Erik-Chvojka|26|10|1986|185|80|0|2004
711|PB23|Po/M/Milan-Pokrajac|31|10|1987|-1|-1|-1|-1
712|KF24|Ki/T/Timur-Kiuamov|30|10|1996|-1|-1|-1|-1
713|HA95|Ho/K/Karim-Hossam|8|4|1994|-1|-1|1|-1
714|MM66|Mi/N/Nikola-Milojevic|19|1|1995|188|77|1|-1
715|SP24|Sc/B/Brayden-Schnur|4|7|1995|190|84|1|-1
716|F634|Fr/I/Isaac-Frost-F634|6|1|1989|-1|-1|-1|-1
717|GC66|Go/L/Levente-Godry|17|4|1992|-1|-1|-1|-1
718|MM63|Mo/W/Wayne-Montgomery|6|7|1995|-1|-1|-1|-1
719|O324|On/A/Arata-Onozawa|28|4|1988|-1|-1|-1|-1
720|SQ87|Sc/G/Ghilherme-Scarpelli|-1|-1|-1|-1|-1|-1|-1
721|E830|Es/E/Eduard-Esteve-Lobato|18|9|1994|-1|-1|-1|-1
722|E831|Ed/K/Kyle-Edmund|8|1|1995|-1|-1|1|-1
723|M729|Me/G/Giuseppe-Menga|15|12|1976|-1|-1|1|-1
724|KB37|Ki/E/Evan-King|25|3|1992|185|79|0|-1
725|GE33|Ga/D/Daniel-Elahi-Galan|18|6|1996|-1|-1|-1|-1
726|BF17|Br/D/Devin-Britton|17|3|1991|193|84|1|2009
727|BA23|Ba/B/Brian-Baker|30|4|1985|190|77|1|2003
728|SO20|Se/J/Jelle-Sels|10|8|1995|-1|-1|-1|-1
729|K945|Ko/B/Blazej-Koniusz|22|2|1988|-1|-1|-1|-1
730|H704|Hu/J/Jesse-Huta-Galung|6|10|1985|188|88|1|2004
731|A410|Al/T/Thiago-Alves|22|5|1982|178|75|1|2000
732|M873|Top-Players/Nicolas-Mahut|21|1|1982|190|80|1|2000
733|G892|Go/A/Alejandro-Gonzalez-G892|7|2|1989|190|83|1|2006
734|PA97|Pr/N/N-Vijay-Sundar-Prashanth|27|10|1986|-1|-1|-1|-1
735|A789|Au/M/Maxime-Authom|29|3|1987|-1|-1|-1|0
736|M655|Ma/N/Nicolas-Massu|10|10|1979|183|80|1|1997
737|F491|Fe/A/Adam-Feeney|7|3|1985|178|70|1|-1
738|N718|Na/U/Ugo-Nastasi|16|4|1993|-1|-1|1|-1
739|V627|Vo/S/Stanislav-Vovk|19|2|1991|185|69|1|2008
740|K826|Kr/N/Nikita-Kryvonos|1|9|1986|-1|-1|-1|-1
741|A787|Ar/I/Ivan-Arenas-Gualda|31|10|1990|-1|-1|-1|0
742|DA89|De/M/Mate-Delic|29|4|1993|196|84|1|-1
743|LB88|Lu/W/Wojciech-Lutkowski|19|2|1992|-1|-1|1|-1
744|PE02|Pe/D/Danilo-Petrovic|24|1|1992|-1|-1|-1|-1
745|DB64|De/M/Marat-Deviatiarov|19|4|1994|-1|-1|1|-1
746|J525|Ju/I/Isade-Juneau|5|6|1991|-1|-1|-1|-1
747|R934|Re/N/Nicolas-Reissig|7|4|1989|185|84|1|2009
748|KE29|Kh/K/Karen-Khachanov|21|5|1996|198|88|1|-1
749|LB84|Lo/J/Juan-Ignacio-Londero|15|8|1993|-1|-1|1|-1
750|R851|Ro/M/Mathieu-Rodrigues|7|11|1985|180|76|1|2007
751|KC04|Ko/J/Jozef-Kovalik|4|11|1992|-1|-1|-1|-1
752|Z254|Zo/J/Jurgen-Zopp|29|3|1988|190|88|1|2008
753|E757|Eh/H/Hiroyasu-Ehara|18|6|1991|-1|-1|-1|-1
754|MB88|Mi/M/Matwe-Middelkoop|3|9|1983|-1|-1|1|2002
755|CA62|Cr/E/Erik-Crepaldi|4|5|1990|-1|-1|0|-1
756|K596|Ku/A/Alexander-Kudryavtsev|26|10|1985|183|75|1|-1
757|MC65|Top-Players/Gael-Monfils|1|9|1986|193|80|1|2004
758|MJ89|Mi/G/Gianni-Mina|9|2|1992|185|77|1|-1
759|N558|Na/S/N-Sriram-Balaji|18|3|1990|-1|-1|1|-1
760|L837|Lo/M/Michael-Look|24|11|1987|-1|-1|-1|-1
761|V555|Vi/A/Adelchi-Virgili|10|3|1990|-1|-1|-1|-1
762|R895|Re/F/Florian-Reynet|14|4|1986|-1|-1|-1|-1
763|CG80|Co/B/Borna-Coric|14|11|1996|185|79|1|-1
764|G528|Gi/D/Daniele-Giorgini|24|4|1984|180|75|1|2003
765|BD06|Top-Players/Roberto-Bautista-Agut|14|4|1988|183|76|1|-1
766|SF36|Si/I/Igor-Sijsling|18|8|1987|190|87|1|2005
767|P701|Pr/M/Michal-Przysiezny|16|2|1984|185|84|1|2001
768|SO47|Sh/J/Justin-S-Shane|6|3|1992|-1|-1|-1|-1
769|AB12|Ar/I/Isak-Arvidsson|6|8|1992|-1|-1|1|-1
770|AB17|Ar/A/Andres-Artunedo-Martinavarro|14|9|1993|183|75|1|2011
771|SL08|Sa/T/Tennys-Sandgren|22|7|1991|188|88|-1|-1
772|AB18|Au/A/Alejandro-Augusto-Bueno|30|1|1993|-1|-1|-1|-1
773|N691|Ni/Y/Yuqing-Ning|9|5|1994|-1|-1|-1|-1
774|MA49|Ma/R/Rui-Machado|10|4|1984|178|65|1|2002
775|V600|Vo/T/Tucker-Vorster|3|9|1988|-1|-1|-1|-1
776|DA86|De/J/Joris-De-Loore|21|4|1993|-1|-1|-1|-1
777|C786|Ca/K/Kamil-Capkovic|2|6|1986|198|93|1|2005
778|CB66|Cl/J/James-Cluskey|18|8|1986|-1|-1|1|-1
779|F392|Fe/M/Marcel-Felder|9|7|1984|170|76|1|-1
780|D643|Top-Players/Novak-Djokovic|22|5|1987|188|80|1|2003
781|LC58|Li/T/Tomas-Lipovsek-Puches|17|4|1993|-1|-1|-1|-1
782|G602|Gh/A/Andre-Ghem|29|5|1982|193|86|1|2003
783|R805|Ri/S/Sebastian-Rivera|18|9|1986|-1|-1|-1|-1
784|GB93|Go/N/Norbert-Gombos|13|8|1990|196|85|1|2009
785|GB94|Gi/O/Omar-Giacalone|11|1|1992|-1|-1|-1|-1
786|LD05|Li/P/Pietro-Licciardi|17|5|1994|-1|-1|0|-1
787|N707|Na/N/Naoki-Nakagawa|19|11|1996|-1|-1|-1|-1
788|B676|Top-Players/James-Blake|28|12|1979|185|83|1|1999
789|BD83|Bu/A/Alexander-Bury|14|9|1987|-1|-1|-1|-1
790|J380|Ju/J/Jason-Jung|15|6|1989|178|68|1|-1
791|R483|Re/B/Bobby-Reynolds|17|7|1982|183|77|1|2003
792|RC60|Re/J/Jorman-Reyes-RC60|-1|-1|-1|-1|-1|-1|-1
793|HB48|He/C/Calvin-Hemery|28|1|1995|-1|-1|1|-1
794|D893|Dj/M/Marko-Djokovic|20|8|1991|-1|-1|-1|-1
795|N313|Ni/T/Timo-Nieminen|6|10|1981|185|76|1|2000
796|S550|Su/T/Takao-Suzuki|20|9|1976|175|73|1|1995
797|HB41|Hi/J/Jared-Hiltzik|8|7|1994|-1|-1|-1|-1
798|K718|Vo/R/Roman-Vogeli|13|3|1985|-1|-1|-1|-1
799|G876|Go/M/Mao-Xin-Gong|24|8|1987|178|70|1|2006
800|H528|Top-Players/Victor-Hanescu|21|7|1981|198|88|1|2000
801|MK40|Mi/B/Benjamin-Mitchell|30|11|1992|-1|-1|1|2008
802|G978|Ga/M/Marcin-Gawron|25|5|1988|-1|-1|-1|-1
803|Y152|Yu/A/Anil-Yuksel|19|5|1990|-1|-1|0|-1
804|SC73|Du/R/Rogerio-Dutra-Silva|3|2|1984|178|73|1|2010
805|SG01|Sa/S/Sherif-Sabry|29|8|1986|-1|-1|-1|-1
806|L480|Top-Players/Marc-Lopez|31|7|1982|175|72|1|1999
807|BF55|Bh/Y/Yuki-Bhambri|4|7|1992|183|77|1|2008
808|PB98|Pr/P/Patrick-Prader|5|6|1986|-1|-1|-1|-1
809|PC53|Pa/M/Michal-Pazicky|13|12|1987|-1|-1|1|-1
810|O207|Ou/L/Lamine-Ouahab|22|12|1984|185|83|1|2002
811|D878|Do/A/Alexander-Domijan|3|9|1991|-1|-1|-1|-1
812|PJ10|Pa/A/Andrei-Patrui|1|7|1996|-1|-1|-1|-1
813|MG84|Me/N/Nicolas-Meister|15|5|1989|-1|-1|-1|-1
814|I286|Is/T/Temur-Ismailov|14|1|1995|-1|-1|-1|-1
815|R923|Ri/D/David-Rice|1|1|1989|193|90|1|-1
816|MD50|Mi/A/Andre-Miele|12|4|1987|-1|-1|1|-1
817|E784|Es/F/Felipe-Escobar|4|5|1994|-1|-1|-1|-1
818|ME64|My/S/Saketh-Myneni|19|10|1987|-1|-1|-1|-1
819|SN77|Sa/V/Vaclav-Safranek|20|5|1994|-1|-1|-1|-1
